Frequency,Acceleration
2180,0.000484400
2181,0.000409900
2183,0.000200400
2184,0.000222400
2186,0.000192300
2188,0.000220800
2189,0.000255800
2191,0.000202300
2192,0.000305200
2194,0.000329100
2195,0.000305300
2197,0.000266500
2198,0.000294500
2200,0.000542400
2202,0.004875000
2203,0.007813000
2205,0.003427000
2206,0.000285700
2208,0.000363700
2209,0.000409000
2211,0.000451000
2213,0.000525500
2214,0.000370700
2216,0.000304400
2217,0.000311100
2219,0.000300100
2220,0.000336200
2222,0.000203200
2223,0.000208800
2225,0.000421800
2227,0.000473300
2228,0.000239300
2230,0.000349300
2231,0.000347600
2233,0.000275300
2234,0.000249600
2236,0.000278500
2238,0.000304800
2239,0.000247100
2241,0.000217200
2242,0.000225300
2244,0.000247000
2245,0.000295300
2247,0.000249600
2248,0.000276800
2250,0.000250500
2252,0.000378400
2253,0.000599400
2255,0.000329300
2256,0.000241300
2258,0.000265100
2259,0.000242300
2261,0.000281000
2263,0.000313300
2264,0.000350400
2266,0.000358800
2267,0.000398800
2269,0.000460700
2270,0.000320700
2272,0.000328200
2273,0.000402100
2275,0.000356300
2277,0.000319800
2278,0.000303700
2280,0.000361400
2281,0.000473100
2283,0.000348100
2284,0.000217100
2286,0.000201600
2288,0.000307300
2289,0.000255400
2291,0.000256400
2292,0.000262600
2294,0.000312400
2295,0.000250600
2297,0.000469600
2298,0.000539600
2300,0.000537000
2302,0.002989000
2303,0.005334000
2305,0.002365000
2306,0.000481800
2308,0.000462700
2309,0.000397300
2311,0.000464000
2313,0.000541200
2314,0.000417400
2316,0.000281200
2317,0.000319600
2319,0.000399000
2320,0.000391300
2322,0.000213700
2323,0.000263400
2325,0.001048000
2327,0.000938900
2328,0.000483100
2330,0.000554900
2331,0.000422400
2333,0.000412900
2334,0.000321800
2336,0.000319900
2338,0.000310200
2339,0.000319100
2341,0.000221300
2342,0.000215600
2344,0.000246100
2345,0.000162200
2347,0.000213100
2348,0.000280500
2350,0.000227900
2352,0.000263800
2353,0.000329000
2355,0.000255200
2356,0.000299100
2358,0.000330200
2359,0.000264000
2361,0.000256400
2363,0.000311800
2364,0.000316300
2366,0.000319400
2367,0.000273600
2369,0.000205700
2370,0.000164200
2372,0.000248300
2373,0.000203600
2375,0.000223300
2377,0.000226300
2378,0.000179000
2380,0.000354200
2381,0.000385000
2383,0.000253100
2384,0.000319600
2386,0.000297100
2388,0.000204800
2389,0.000239700
2391,0.000243600
2392,0.000253700
2394,0.000244200
2395,0.000274700
2397,0.000355600
2398,0.000322400
2400,0.000347400
2402,0.003781000
2403,0.007521000
2405,0.003900000
2406,0.000280100
2408,0.000281800
2409,0.000410100
2411,0.000365100
2413,0.000412200
2414,0.000330700
2416,0.000390200
2417,0.000391600
2419,0.000311200
2420,0.000305100
2422,0.000316900
2423,0.000321700
2425,0.000843700
2427,0.000921300
2428,0.000573600
2430,0.000579300
2431,0.000599200
2433,0.000617500
2434,0.000733900
2436,0.000700500
2438,0.000584000
2439,0.000584900
2441,0.000578300
2442,0.000540800
2444,0.000909300
2445,0.000836500
2447,0.000487100
2448,0.001004000
2450,0.001220000
2452,0.001314000
2453,0.001311000
2455,0.001450000
2456,0.000789500
2458,0.000556600
2459,0.000523600
2461,0.000576900
2463,0.000576700
2464,0.000399500
2466,0.000545400
2467,0.000679800
2469,0.000477000
2470,0.000313300
2472,0.000548800
2473,0.000648100
2475,0.000406000
2477,0.000395700
2478,0.000478900
2480,0.000978000
2481,0.001148000
2483,0.000386900
2484,0.000168900
2486,0.000212600
2488,0.000282800
2489,0.000258400
2491,0.000295900
2492,0.000342700
2494,0.000498200
2495,0.000701300
2497,0.000771100
2498,0.000706500
2500,0.000598800
